branch_id,college_abbrv,dte_code,branch_name,branch_abbrv,regular_intake,dse_intake_2025
1,BVCERI,5130,Civil Engineering,CIVIL,60,6
2,BVCERI,5130,Computer Engineering,COMP,60,6
3,BVCERI,5130,Electrical Engineering,ELEC,60,6
4,BVCERI,5130,Mechanical Engineering,MECH,120,12
5,JIT,5401,Computer Engineering,COMP,120,12
6,JIT,5401,Information Technology,IT,120,12
7,JIT,5401,Artificial Intelligence & Data Science,AIDS,120,12
8,JIT,5401,Electrical Engineering,ELEC,60,6
9,JIT,5401,Mechanical Engineering,MECH,23,2
10,JIT,5401,Civil Engineering,CIVIL,46,4
11,JIT,5401,Electronic & Telecommunication Engg.,E&TC,60,6
12,JIT,5401,Automation & Robotics,AR,60,6
13,KKWDIR,5121,Computer Engineering,COMP,120,12
14,KKWDIR,5121,Electronics & Telecommunication Engg.,E&TC,120,12
15,KKWDIR,5121,Civil Engineering,CIVIL,120,12
16,KKWDIR,5121,Mechanical Engineering,MECH,120,12
17,KKWDIR,5121,Electrical Engineering,ELEC,120,12
18,SNDCOERC,5121,Chemical Engineering,CHEM,60,6
19,KKWDIR,5121,Information Technology,IT,120,12
20,KKWDIR,5121,Robotics & Automation Engineering,R&A,120,12
21,KKWDIR,5121,Artificial Intelligence & Data Science,AIDS,120,12
22,KKWDIR,5121,Computer Science and Design,CSD,120,12
23,LOGMIEER,5390,Civil Engineering,CIVIL,60,6
24,LOGMIEER,5390,Computer Engineering,COMP,60,6
25,LOGMIEER,5390,Information Technology,IT,30,3
26,LOGMIEER,5390,Mechanical Engineering,MECH,60,6
27,LOGMIEER,5390,Electrical Engineering,ELEC,60,6
28,LOGMIEER,5390,Artificial Intelligence & Machine Learning,AIML,60,6
29,LGNSCOE,5182,Computer Engineering,COMP,120,12
30,LGNSCOE,5182,Artificial Intelligence & Data Science,AIDS,120,12
31,LGNSCOE,5182,Civil Engineering,CIVIL,60,6
32,LGNSCOE,5182,Electrical Engineering,ELEC,60,6
